Simulation Complete...
         65697726 function calls (65659680 primitive calls) in 72.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7890    0.006    0.000    0.011    0.000 inspect.py:2637(__init__)
        1    0.006    0.006    0.012    0.012 arm_assets_v01.py:301(forwardDynamics)
    12207    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1500    0.006    0.000    0.051    0.000 fromnumeric.py:69(_wrapreduction)
     3009    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    91541    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      842    0.006    0.000    0.016    0.000 inspect.py:2280(_signature_from_function)
     8334    0.006    0.000    0.120    0.000 re.py:288(_compile)
        1    0.006    0.006    0.006    0.006 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
      192    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
4145/1257    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
    10205    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      319    0.005    0.000    0.007    0.000 function_base.py:487(add_newdoc)
   1719/6    0.005    0.000    1.202    0.200 <frozen importlib._bootstrap>:1022(_find_and_load)
   1656/5    0.005    0.000    1.202    0.240 <frozen importlib._bootstrap>:664(_load_unlocked)
     1656    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1209    0.005    0.000    0.007    0.000 inspect.py:2920(__init__)
      200    0.005    0.000    3.068    0.015 __init__.py:1(<module>)
   1712/6    0.004    0.000    1.202    0.200 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     3009    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
     4000    0.004    0.000    0.004    0.000 arm_assets_v01.py:218(getPos)
     8096    0.004    0.000    0.008    0.000 typing.py:986(__setattr__)
    18562    0.004    0.000    0.010    0.000 sre_parse.py:255(get)
     1500    0.004    0.000    0.056    0.000 fromnumeric.py:2338(sum)
       88    0.004    0.000    0.017    0.000 traitlets.py:1013(setup_class)
     7526    0.004    0.000    0.069    0.000 inspect.py:725(getdoc)
     1648    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1686    0.004    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3009    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
  956/876    0.003    0.000    0.023    0.000 inspect.py:2375(_signature_from_callable)
      439    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
 1499/500    0.003    0.000    0.063    0.000 sre_parse.py:436(_parse_sub)
     8977    0.003    0.000    0.009    0.000 enum.py:359(__call__)
     1848    0.003    0.000    0.009    0.000 typing.py:146(_type_check)
     4409    0.003    0.000    0.007    0.000 artist.py:1551(aliased_name)
 2589/386    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
      120    0.003    0.000    0.123    0.001 artist.py:1595(pprint_setters)
    13175    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       99    0.003    0.000    0.007    0.000 __init__.py:328(namedtuple)
     1861    0.003    0.000    0.007    0.000 enum.py:89(__setitem__)
      608    0.003    0.000    0.025    0.000 textwrap.py:422(dedent)
     1212    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
     2968    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     7621    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
     1484    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      947    0.003    0.000    0.017    0.000 typing.py:1016(__init__)
       31    0.003    0.000    0.019    0.001 __init__.py:887(_rc_params_in_file)
       89    0.003    0.000    0.007    0.000 traitlets.py:241(getmembers)
 1908/612    0.003    0.000    0.891    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    33189    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
   1484/5    0.002    0.000    1.202    0.240 <frozen importlib._bootstrap_external>:877(exec_module)
     1484    0.002    0.000    0.153    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     5935    0.002    0.000    0.029    0.000 re.py:197(search)
    21332    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     8099    0.002    0.000    0.003    0.000 typing.py:935(_is_dunder)
     6350    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2000    0.002    0.000    0.002    0.000 arm_assets_v01.py:203(inverse)
     4452    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    10951    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
    10547    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     1484    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
1656/1643    0.002    0.000    0.128    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     7970    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
