time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7
0.048,0.574056,0.263208,-0.089736,-0.737960638,-0.042513889,0.034422686,0.6003192,-0.015020049,1.010680665,-0.006029628,0.506379721,-0.182582037,0.014304406,0.39655,0.048937886,-0.217027284,0.426432544
0.05,0.574172,0.262463,-0.089736,-0.736948378,-0.042889233,0.034451062,0.6011345,-0.014922294,1.01023461,-0.005176308,0.50578011,-0.192652102,0.014106456,0.4185,0.048816485,-0.229027198,0.426887514
0.052,0.574292,0.261718,-0.089736,-0.735937118,-0.043284577,0.034479032,0.6019928,-0.014824742,1.009768556,-0.004322078,0.505230526,-0.202642171,0.013898295,0.4404,0.048699983,-0.240527105,0.427332842
0.054,0.574417,0.260975,-0.089736,-0.734927856,-0.043699921,0.034506695,0.6028961,-0.014727494,1.009272502,-0.003466937,0.504630972,-0.212567245,0.013694916,0.4621,0.048573378,-0.252027006,0.427763536
0.056,0.574547,0.260232,-0.089736,-0.733918594,-0.044134966,0.034533852,0.6038424,-0.014630449,1.008756448,-0.002610985,0.504031446,-0.222427324,0.013486315,0.48375,0.048456667,-0.264026901,0.428169605
0.058,0.574681,0.25949,-0.089736,-0.73291133,-0.044589711,0.034560601,0.6048307,-0.014533707,1.008220394,-0.001754219,0.503481951,-0.232207408,0.013272486,0.50515,0.048354848,-0.275526789,0.428561057
0.06,0.57482,0.258749,-0.089736,-0.731905066,-0.045063956,0.034586942,0.605863,-0.014437069,1.007654341,-0.000896741,0.502882486,-0.241917498,0.013058426,0.52635,0.048257919,-0.28702667,0.428942899
0.062,0.574964,0.258009,-0.089736,-0.7308998,-0.045557501,0.034612875,0.6069373,-0.014340635,1.007068288,-3.84E-05,0.502283052,-0.251542592,0.012839129,0.5475,0.048165877,-0.299026544,0.42931514
0.064,0.575112,0.25727,-0.089736,-0.729895534,-0.046070246,0.034638299,0.6080526,-0.014244405,1.006462235,0.000820559,0.50173365,-0.261072692,0.012609592,0.5684,0.048063721,-0.310526411,0.429672787
0.066,0.575265,0.256531,-0.089736,-0.728893266,-0.046601992,0.034663314,0.6092109,-0.01414838,1.005826182,0.001680282,0.50113428,-0.270527797,0.012379809,0.5892,0.047971449,-0.322026271,0.430005847
0.068,0.575422,0.255794,-0.089736,-0.727890997,-0.047152437,0.034687819,0.6104102,-0.014052559,1.00517013,0.002540622,0.500534943,-0.279882907,0.012149776,0.6098,0.047884058,-0.333026124,0.430324328
0.07,0.575585,0.255058,-0.089736,-0.726890726,-0.047721683,0.034711913,0.6116505,-0.013956844,1.004494078,0.003401579,0.49988564,-0.289158023,0.011919491,0.63015,0.047806547,-0.343025969,0.430623235
0.072,0.575751,0.254322,-0.089736,-0.725891454,-0.048309229,0.034735497,0.6129308,-0.013861333,1.003798026,0.004263154,0.49923637,-0.298343145,0.011688948,0.6504,0.047728913,-0.354025807,0.430907576
0.074,0.575923,0.253588,-0.089736,-0.724894181,-0.048915176,0.034758669,0.6142521,-0.013765928,1.003081974,0.005125248,0.498637135,-0.307433272,0.011448144,0.67045,0.047661156,-0.365525637,0.431177357
