time,pos_x,pos_y,pos_z
0.278,0.615624,0.189256,-0.089736
0.28,0.616204,0.188773,-0.089736
0.282,0.616786,0.188295,-0.089736
0.284,0.617372,0.187819,-0.089736
0.286,0.61796,0.187348,-0.089736
0.288,0.618551,0.18688,-0.089736
0.29,0.619146,0.186416,-0.089736
0.292,0.619743,0.185956,-0.089736
0.294,0.620343,0.1855,-0.089736
0.296,0.620946,0.185047,-0.089736
0.298,0.621552,0.184598,-0.089736
0.3,0.62216,0.184153,-0.089736
0.302,0.622772,0.183712,-0.089736
0.304,0.623386,0.183274,-0.089736
0.306,0.624003,0.182841,-0.089736
0.308,0.624622,0.182411,-0.089736
0.31,0.625245,0.181985,-0.089736
0.312,0.62587,0.181563,-0.089736
0.314,0.626497,0.181146,-0.089736
0.316,0.627127,0.180732,-0.089736
0.318,0.62776,0.180322,-0.089736
0.32,0.628395,0.179916,-0.089736
0.322,0.629033,0.179514,-0.089736
0.324,0.629674,0.179116,-0.089736
0.326,0.630317,0.178722,-0.089736
0.328,0.630962,0.178332,-0.089736
0.33,0.63161,0.177946,-0.089736
0.332,0.63226,0.177564,-0.089736
0.334,0.632912,0.177186,-0.089736
0.336,0.633567,0.176813,-0.089736
0.338,0.634225,0.176443,-0.089736
0.34,0.634884,0.176078,-0.089736
0.342,0.635546,0.175717,-0.089736
0.344,0.63621,0.17536,-0.089736
0.346,0.636876,0.175007,-0.089736
0.348,0.637545,0.174659,-0.089736
0.35,0.638216,0.174314,-0.089736
0.352,0.638889,0.173974,-0.089736
0.354,0.639564,0.173638,-0.089736
0.356,0.640241,0.173306,-0.089736
0.358,0.64092,0.172979,-0.089736
0.36,0.641601,0.172656,-0.089736
0.362,0.642284,0.172337,-0.089736
0.364,0.64297,0.172022,-0.089736
0.366,0.643657,0.171712,-0.089736
0.368,0.644346,0.171406,-0.089736
0.37,0.645037,0.171104,-0.089736
0.372,0.64573,0.170807,-0.089736
0.374,0.646425,0.170514,-0.089736
0.376,0.647121,0.170226,-0.089736
0.378,0.647819,0.169941,-0.089736
0.38,0.64852,0.169662,-0.089736
0.382,0.649222,0.169386,-0.089736
0.384,0.649925,0.169115,-0.089736
0.386,0.65063,0.168849,-0.089736
0.388,0.651337,0.168587,-0.089736
0.39,0.652046,0.168329,-0.089736
0.392,0.652756,0.168076,-0.089736
0.394,0.653468,0.167827,-0.089736
0.396,0.654181,0.167583,-0.089736
0.398,0.654896,0.167343,-0.089736
0.4,0.655613,0.167108,-0.089736
0.402,0.65633,0.166877,-0.089736
0.404,0.65705,0.166651,-0.089736
0.406,0.65777,0.166429,-0.089736
0.408,0.658492,0.166212,-0.089736
0.41,0.659216,0.166,-0.089736
0.412,0.65994,0.165792,-0.089736
0.414,0.660666,0.165588,-0.089736
0.416,0.661394,0.165389,-0.089736
0.418,0.662122,0.165195,-0.089736
0.42,0.662852,0.165005,-0.089736
0.422,0.663583,0.16482,-0.089736
0.424,0.664315,0.164639,-0.089736
0.426,0.665048,0.164463,-0.089736
0.428,0.665782,0.164292,-0.089736
0.43,0.666517,0.164125,-0.089736
0.432,0.667254,0.163963,-0.089736
0.434,0.667991,0.163805,-0.089736
