0.38200,0.50000,0.28255,0.08541,0.00000,-0.46339,0.11040,0.00000,-2.66611,15.73031
0.38400,0.50000,0.28162,0.08566,0.00000,-0.46869,0.14182,0.00000,-2.62931,15.69048
0.38600,0.50000,0.28068,0.08597,0.00000,-0.47391,0.17315,0.00000,-2.59210,15.64074
0.38800,0.50000,0.27973,0.08635,0.00000,-0.47906,0.20438,0.00000,-2.55447,15.58112
0.39000,0.50000,0.27876,0.08679,0.00000,-0.48413,0.23547,0.00000,-2.51645,15.51166
0.39200,0.50000,0.27779,0.08729,0.00000,-0.48912,0.26642,0.00000,-2.47803,15.43240
0.39400,0.50000,0.27681,0.08786,0.00000,-0.49404,0.29719,0.00000,-2.43921,15.34339
0.39600,0.50000,0.27581,0.08848,0.00000,-0.49888,0.32778,0.00000,-2.40001,15.24470
0.39800,0.50000,0.27481,0.08917,0.00000,-0.50364,0.35817,0.00000,-2.36043,15.13637
0.40000,0.50000,0.27380,0.08991,0.00000,-0.50832,0.38832,0.00000,-2.32048,15.01848
0.40200,0.50000,0.27278,0.09072,0.00000,-0.51292,0.41823,0.00000,-2.28017,14.89111
0.40400,0.50000,0.27175,0.09159,0.00000,-0.51744,0.44788,0.00000,-2.23949,14.75433
0.40600,0.50000,0.27071,0.09251,0.00000,-0.52188,0.47724,0.00000,-2.19846,14.60823
0.40800,0.50000,0.26966,0.09350,0.00000,-0.52623,0.50631,0.00000,-2.15708,14.45291
0.41000,0.50000,0.26860,0.09454,0.00000,-0.53051,0.53505,0.00000,-2.11536,14.28846
0.41200,0.50000,0.26754,0.09564,0.00000,-0.53470,0.56345,0.00000,-2.07331,14.11498
0.41400,0.50000,0.26646,0.09679,0.00000,-0.53880,0.59150,0.00000,-2.03093,13.93258
0.41600,0.50000,0.26538,0.09800,0.00000,-0.54282,0.61918,0.00000,-1.98822,13.74139
0.41800,0.50000,0.26429,0.09927,0.00000,-0.54675,0.64646,0.00000,-1.94521,13.54152
0.42000,0.50000,0.26320,0.10059,0.00000,-0.55060,0.67334,0.00000,-1.90189,13.33309
0.42200,0.50000,0.26209,0.10196,0.00000,-0.55436,0.69979,0.00000,-1.85826,13.11624
0.42400,0.50000,0.26098,0.10339,0.00000,-0.55803,0.72580,0.00000,-1.81435,12.89111
0.42600,0.50000,0.25986,0.10486,0.00000,-0.56162,0.75135,0.00000,-1.77015,12.65784
0.42800,0.50000,0.25873,0.10639,0.00000,-0.56511,0.77643,0.00000,-1.72566,12.41657
0.43000,0.50000,0.25760,0.10797,0.00000,-0.56852,0.80101,0.00000,-1.68091,12.16746
0.43200,0.50000,0.25646,0.10959,0.00000,-0.57184,0.82509,0.00000,-1.63589,11.91066
0.43400,0.50000,0.25531,0.11127,0.00000,-0.57506,0.84865,0.00000,-1.59061,11.64634
0.43600,0.50000,0.25416,0.11299,0.00000,-0.57820,0.87167,0.00000,-1.54508,11.37466
0.43800,0.50000,0.25300,0.11476,0.00000,-0.58124,0.89414,0.00000,-1.49931,11.09580
0.44000,0.50000,0.25183,0.11657,0.00000,-0.58420,0.91605,0.00000,-1.45330,10.80993
0.44200,0.50000,0.25066,0.11842,0.00000,-0.58706,0.93738,0.00000,-1.40706,10.51724
0.44400,0.50000,0.24948,0.12031,0.00000,-0.58982,0.95811,0.00000,-1.36060,10.21790
0.44600,0.50000,0.24830,0.12225,0.00000,-0.59250,0.97824,0.00000,-1.31392,9.91210
0.44800,0.50000,0.24711,0.12423,0.00000,-0.59508,0.99776,0.00000,-1.26703,9.60005
0.45000,0.50000,0.24592,0.12624,0.00000,-0.59757,1.01664,0.00000,-1.21995,9.28193
0.45200,0.50000,0.24472,0.12829,0.00000,-0.59996,1.03488,0.00000,-1.17267,8.95795
0.45400,0.50000,0.24352,0.13038,0.00000,-0.60226,1.05247,0.00000,-1.12521,8.62831
0.45600,0.50000,0.24232,0.13250,0.00000,-0.60446,1.06939,0.00000,-1.07757,8.29323
0.45800,0.50000,0.24110,0.13466,0.00000,-0.60657,1.08564,0.00000,-1.02976,7.95290
0.46000,0.50000,0.23989,0.13684,0.00000,-0.60858,1.10120,0.00000,-0.98179,7.60755
0.46200,0.50000,0.23867,0.13906,0.00000,-0.61049,1.11607,0.00000,-0.93366,7.25739
0.46400,0.50000,0.23745,0.14131,0.00000,-0.61231,1.13023,0.00000,-0.88539,6.90266
0.46600,0.50000,0.23622,0.14358,0.00000,-0.61404,1.14367,0.00000,-0.83697,6.54356
0.46800,0.50000,0.23499,0.14588,0.00000,-0.61566,1.15640,0.00000,-0.78842,6.18033
0.47000,0.50000,0.23376,0.14821,0.00000,-0.61719,1.16839,0.00000,-0.73975,5.81319
0.47200,0.50000,0.23252,0.15056,0.00000,-0.61862,1.17965,0.00000,-0.69096,5.44238
0.47400,0.50000,0.23128,0.15293,0.00000,-0.61995,1.19016,0.00000,-0.64207,5.06814
0.47600,0.50000,0.23004,0.15532,0.00000,-0.62119,1.19992,0.00000,-0.59307,4.69069
0.47800,0.50000,0.22880,0.15772,0.00000,-0.62233,1.20892,0.00000,-0.54397,4.31028
0.48000,0.50000,0.22755,0.16015,0.00000,-0.62336,1.21716,0.00000,-0.49480,3.92715
0.48200,0.50000,0.22631,0.16259,0.00000,-0.62430,1.22463,0.00000,-0.44554,3.54154
0.48400,0.50000,0.22506,0.16505,0.00000,-0.62515,1.23132,0.00000,-0.39621,3.15369
0.48600,0.50000,0.22381,0.16752,0.00000,-0.62589,1.23724,0.00000,-0.34682,2.76385
0.48800,0.50000,0.22255,0.17000,0.00000,-0.62653,1.24238,0.00000,-0.29738,2.37227
0.49000,0.50000,0.22130,0.17249,0.00000,-0.62708,1.24673,0.00000,-0.24789,1.97918
0.49200,0.50000,0.22004,0.17498,0.00000,-0.62752,1.25029,0.00000,-0.19836,1.58485
0.49400,0.50000,0.21879,0.17749,0.00000,-0.62787,1.25307,0.00000,-0.14879,1.18951
0.49600,0.50000,0.21753,0.18000,0.00000,-0.62812,1.25505,0.00000,-0.09921,0.79343
0.49800,0.50000,0.21628,0.18251,0.00000,-0.62827,1.25624,0.00000,-0.04961,0.39684
0.50000,0.50000,0.21502,0.18502,0.00000,-0.62832,1.25664,0.00000,-0.00000,0.00000
0.50200,0.50000,0.21376,0.18753,0.00000,-0.62827,1.25624,0.00000,0.04961,-0.39684
0.50400,0.50000,0.21251,0.19004,0.00000,-0.62812,1.25505,0.00000,0.09921,-0.79343
0.50600,0.50000,0.21125,0.19255,0.00000,-0.62787,1.25307,0.00000,0.14879,-1.18951
0.50800,0.50000,0.21000,0.19506,0.00000,-0.62752,1.25029,0.00000,0.19836,-1.58485
0.51000,0.50000,0.20874,0.19755,0.00000,-0.62708,1.24673,0.00000,0.24789,-1.97918
0.51200,0.50000,0.20749,0.20004,0.00000,-0.62653,1.24238,0.00000,0.29738,-2.37227
0.51400,0.50000,0.20623,0.20252,0.00000,-0.62589,1.23724,0.00000,0.34682,-2.76385
